title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq0486;size=5;	*	VARIANT	*	*	*
Uniq1580;size=1;	Uniq0498;size=5;	NOISY VARIANT	3	3	1
Uniq1621;size=1;	Uniq0498;size=5;	NOISY VARIANT	3	3	0
Uniq1731;size=1;	Uniq0498;size=5;	NOISY VARIANT	4	0	0
Uniq2184;size=1;	Uniq0498;size=5;	NOISY VARIANT	3	3	1
Uniq3445;size=1;	Uniq0498;size=5;	NOISY VARIANT	2	2	0
Uniq3527;size=1;	Uniq0498;size=5;	NOISY VARIANT	2	2	0
Uniq4511;size=1;	Uniq0498;size=5;	NOISY VARIANT	3	3	1
Uniq4646;size=1;	Uniq0498;size=5;	NOISY VARIANT	0	0	0
Uniq5552;size=1;	Uniq0498;size=5;	NOISY VARIANT	0	0	0
Uniq5558;size=1;	Uniq0498;size=5;	NOISY VARIANT	3	3	0
Uniq0498;size=5;	*	VARIANT	*	*	*
Uniq3513;size=1;	Uniq0580;size=4;	NOISY VARIANT	4	2	0
Uniq3669;size=1;	Uniq0580;size=4;	NOISY VARIANT	4	2	0
Uniq4006;size=1;	Uniq0580;size=4;	NOISY VARIANT	3	3	0
Uniq4276;size=1;	Uniq0580;size=4;	NOISY VARIANT	2	0	1
Uniq4766;size=1;	Uniq0580;size=4;	NOISY VARIANT	4	2	0
Uniq5086;size=1;	Uniq0580;size=4;	NOISY VARIANT	1	3	1
Uniq5957;size=1;	Uniq0580;size=4;	NOISY VARIANT	3	3	0
Uniq0580;size=4;	*	VARIANT	*	*	*
Uniq1560;size=1;	Uniq0583;size=4;	NOISY VARIANT	3	3	0
Uniq1649;size=1;	Uniq0583;size=4;	NOISY VARIANT	1	3	1
Uniq1772;size=1;	Uniq0583;size=4;	NOISY VARIANT	3	3	0
Uniq2189;size=1;	Uniq0583;size=4;	NOISY VARIANT	2	4	1
Uniq4493;size=1;	Uniq0583;size=4;	NOISY VARIANT	4	0	0
Uniq5225;size=1;	Uniq0583;size=4;	NOISY VARIANT	2	4	0
Uniq0583;size=4;	*	VARIANT	*	*	*
Uniq5564;size=1;	Uniq0592;size=4;	NOISY VARIANT	4	0	0
Uniq0592;size=4;	*	VARIANT	*	*	*
Uniq2066;size=1;	Uniq0619;size=4;	NOISY VARIANT	2	2	1
Uniq2652;size=1;	Uniq0619;size=4;	NOISY VARIANT	3	3	0
Uniq0619;size=4;	*	VARIANT	*	*	*
Uniq3796;size=1;	Uniq0667;size=4;	NOISY VARIANT	4	2	0
Uniq5206;size=1;	Uniq0667;size=4;	NOISY VARIANT	4	2	0
Uniq0667;size=4;	*	VARIANT	*	*	*
Uniq1533;size=1;	Uniq0706;size=4;	NOISY VARIANT	2	4	1
Uniq1786;size=1;	Uniq0706;size=4;	NOISY VARIANT	3	3	1
Uniq2561;size=1;	Uniq0706;size=4;	NOISY VARIANT	2	4	1
Uniq3290;size=1;	Uniq0706;size=4;	NOISY VARIANT	1	3	1
Uniq3483;size=1;	Uniq0706;size=4;	NOISY VARIANT	2	4	1
Uniq4268;size=1;	Uniq0706;size=4;	NOISY VARIANT	1	3	1
Uniq4811;size=1;	Uniq0706;size=4;	NOISY VARIANT	2	4	1
Uniq0706;size=4;	*	VARIANT	*	*	*
Uniq2314;size=1;	Uniq0743;size=3;	NOISY VARIANT	0	0	0
Uniq2817;size=1;	Uniq0743;size=3;	NOISY VARIANT	4	4	0
Uniq3970;size=1;	Uniq0743;size=3;	NOISY VARIANT	3	3	0
Uniq4326;size=1;	Uniq0743;size=3;	NOISY VARIANT	3	3	0
Uniq4403;size=1;	Uniq0743;size=3;	NOISY VARIANT	4	0	0
Uniq4573;size=1;	Uniq0743;size=3;	NOISY VARIANT	4	0	0
Uniq0743;size=3;	*	VARIANT	*	*	*
Uniq1401;size=2;	Uniq0818;size=3;	NOISY VARIANT	1	3	0
Uniq1591;size=1;	Uniq0818;size=3;	NOISY VARIANT	1	3	0
Uniq1900;size=1;	Uniq0818;size=3;	NOISY VARIANT	1	3	0
Uniq1985;size=1;	Uniq0818;size=3;	NOISY VARIANT	0	0	0
Uniq2140;size=1;	Uniq0818;size=3;	NOISY VARIANT	3	3	0
Uniq3276;size=1;	Uniq0818;size=3;	NOISY VARIANT	1	3	1
Uniq3353;size=1;	Uniq0818;size=3;	NOISY VARIANT	4	4	0
Uniq3955;size=1;	Uniq0818;size=3;	NOISY VARIANT	4	2	0
Uniq5033;size=1;	Uniq0818;size=3;	NOISY VARIANT	1	3	0
Uniq5228;size=1;	Uniq0818;size=3;	NOISY VARIANT	4	4	0
Uniq5540;size=1;	Uniq0818;size=3;	NOISY VARIANT	4	4	1
Uniq5784;size=1;	Uniq0818;size=3;	NOISY VARIANT	1	3	0
Uniq0818;size=3;	*	VARIANT	*	*	*
Uniq3150;size=1;	Uniq0856;size=3;	NOISY VARIANT	4	4	1
Uniq4690;size=1;	Uniq0856;size=3;	NOISY VARIANT	4	4	1
Uniq5338;size=1;	Uniq0856;size=3;	NOISY VARIANT	2	4	0
Uniq5805;size=1;	Uniq0856;size=3;	NOISY VARIANT	2	4	0
Uniq0856;size=3;	*	VARIANT	*	*	*
Uniq4185;size=1;	Uniq0858;size=3;	NOISY VARIANT	4	2	0
Uniq5066;size=1;	Uniq0858;size=3;	NOISY VARIANT	3	3	0
Uniq0858;size=3;	*	VARIANT	*	*	*
Uniq1372;size=2;	Uniq0883;size=3;	NOISY VARIANT	4	2	0
Uniq0883;size=3;	*	VARIANT	*	*	*
Uniq2135;size=1;	Uniq0907;size=3;	NOISY VARIANT	4	0	0
Uniq0907;size=3;	*	VARIANT	*	*	*
Uniq0979;size=2;	Uniq0948;size=3;	NOISY VARIANT	2	4	0
Uniq1047;size=2;	Uniq0948;size=3;	NOISY VARIANT	3	3	1
Uniq1171;size=2;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq1345;size=2;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq1452;size=2;	Uniq0948;size=3;	NOISY VARIANT	2	2	0
Uniq1706;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	2	0
Uniq2873;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	0	0
Uniq3592;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	0	0
Uniq3761;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	4	0
Uniq4299;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	2	1
Uniq4536;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	2	1
Uniq4548;size=1;	Uniq0948;size=3;	NOISY VARIANT	2	2	0
Uniq4682;size=1;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq4721;size=1;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq4921;size=1;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq5822;size=1;	Uniq0948;size=3;	NOISY VARIANT	4	2	1
Uniq5942;size=1;	Uniq0948;size=3;	NOISY VARIANT	1	3	0
Uniq0948;size=3;	*	VARIANT	*	*	*
Uniq0967;size=2;	Uniq0957;size=3;	NOISY VARIANT	1	3	0
Uniq1007;size=2;	Uniq0957;size=3;	NOISY VARIANT	2	2	0
Uniq1131;size=2;	Uniq0957;size=3;	NOISY VARIANT	1	3	0
Uniq1135;size=2;	Uniq0957;size=3;	NOISY VARIANT	2	2	0
Uniq1395;size=2;	Uniq0957;size=3;	NOISY VARIANT	4	2	0
Uniq1637;size=1;	Uniq0957;size=3;	NOISY VARIANT	1	3	1
Uniq1964;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	4	1
Uniq2049;size=1;	Uniq0957;size=3;	NOISY VARIANT	2	2	0
