title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq0008;size=205;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0016;size=53;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0025;size=33;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0034;size=28;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0038;size=26;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0040;size=25;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0041;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0042;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0043;size=25;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0044;size=25;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0045;size=24;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0049;size=24;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0057;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0058;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0060;size=22;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0061;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0064;size=22;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0065;size=22;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0066;size=21;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0067;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0071;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0072;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0073;size=21;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0077;size=20;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0079;size=20;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0080;size=20;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0081;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0082;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0083;size=19;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0086;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0087;size=19;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0089;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0090;size=19;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0092;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0093;size=18;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0094;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0096;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0097;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0099;size=18;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0100;size=18;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0103;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0104;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0105;size=17;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0107;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0108;size=17;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0109;size=16;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0110;size=16;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0111;size=16;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0112;size=16;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0113;size=16;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0114;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0116;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0118;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0119;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0121;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0122;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0123;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0124;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0125;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0126;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0127;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0128;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0129;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0130;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0131;size=15;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0132;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0134;size=15;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0136;size=15;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0137;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0138;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0139;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0140;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0141;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0142;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0145;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0147;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0148;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0149;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0150;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0151;size=14;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0152;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0153;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0155;size=14;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0156;size=14;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0159;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0160;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0161;size=13;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0163;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0164;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0165;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0167;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0168;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0169;size=13;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0170;size=13;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0171;size=13;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0173;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0176;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0178;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0181;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0182;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0184;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0186;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0187;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0188;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0189;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0190;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0191;size=12;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0192;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0193;size=12;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0194;size=12;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0196;size=11;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0200;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0201;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0203;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0207;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0208;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0209;size=11;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0211;size=11;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0212;size=11;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0215;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0217;size=10;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0220;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0223;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0224;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0225;size=10;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0226;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0228;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0230;size=10;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0232;size=10;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0233;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0234;size=10;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0235;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0237;size=9;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0240;size=9;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0241;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0242;size=9;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0245;size=9;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0247;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0252;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0253;size=9;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0254;size=9;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0256;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0257;size=9;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0259;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0261;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0262;size=9;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0265;size=9;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0266;size=9;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0269;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0271;size=8;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0273;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0275;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0276;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0279;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0281;size=8;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0282;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0284;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0287;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0288;size=8;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0289;size=8;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0290;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0291;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0293;size=8;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0295;size=8;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0297;size=8;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0300;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0302;size=8;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0306;size=8;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0308;size=8;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0315;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0325;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0326;size=7;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0327;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0329;size=7;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0330;size=7;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0332;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0337;size=7;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0344;size=7;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0345;size=7;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0346;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0347;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0348;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0355;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0358;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0359;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0364;size=7;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0366;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0367;size=6;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0369;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0371;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0373;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0377;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0379;size=6;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0386;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0387;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0391;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0392;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0393;size=6;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0394;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0400;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0401;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0403;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0405;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0406;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0411;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0416;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0417;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0424;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0425;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0426;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0429;size=6;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0430;size=6;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0433;size=6;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0436;size=6;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0439;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0441;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0446;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0451;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0453;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0455;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0456;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0457;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0460;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0462;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0464;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0465;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0473;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0474;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0478;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0481;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0484;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0485;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0493;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0496;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0497;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0499;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0504;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0507;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0508;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0511;size=5;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0514;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0516;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0524;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0527;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0529;size=5;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0530;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0531;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0534;size=5;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0537;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0540;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0546;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0554;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0556;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	1
Uniq0560;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0570;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0573;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0575;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0577;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0595;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0596;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0597;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0599;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0601;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0605;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0606;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0607;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0621;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0626;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0627;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0628;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0630;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0631;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0632;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0634;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0636;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0647;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0648;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0649;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0652;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0653;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0655;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0656;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0657;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0661;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0670;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0673;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0681;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0687;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0690;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0697;size=4;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0698;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0700;size=4;	Uniq0001;size=9688;	NOISY VARIANT	3	1	0
Uniq0705;size=4;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0715;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0723;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0727;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0731;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0732;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0737;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0744;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0752;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0759;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0761;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0765;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0767;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0769;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0778;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0784;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0788;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0790;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	0	1
Uniq0797;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0805;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0808;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0811;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0814;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0836;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0837;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0841;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0845;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0853;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0855;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0863;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0865;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0869;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0871;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0889;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0890;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0895;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0898;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0899;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0901;size=3;	Uniq0001;size=9688;	NOISY VARIANT	2	4	0
Uniq0911;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0912;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0914;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0917;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	2	0
Uniq0920;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0921;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
Uniq0922;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0937;size=3;	Uniq0001;size=9688;	NOISY VARIANT	4	0	0
Uniq0941;size=3;	Uniq0001;size=9688;	NOISY VARIANT	3	3	0
